unhealthy_ratio,good_day_ratio,pollution_severity_index,aqi_spread,pm_pollution_ratio
0.15328467153284672,0.12408759124087591,389,117,0.2591240875912409
0.01838235294117647,0.4264705882352941,181,107,0.34558823529411764
0.0,0.6593406593406593,62,49,0.5769230769230769
0.0,0.43956043956043955,160,68,0.47619047619047616
0.0055248618784530384,0.2983425414364641,129,132,0.8839779005524862
0.0,0.8176795580110497,33,34,0.4585635359116022
0.0,0.8491379310344828,35,56,0.125
0.0,1.0,0,4,1.0
0.0,0.9888059701492538,3,27,0.0
0.0,1.0,0,30,1.0
0.0,0.6827309236947792,80,56,0.26506024096385544
0.0,0.6132075471698113,82,52,0.4056603773584906
0.0,0.8066037735849056,41,54,0.5424528301886793
0.0,0.6842105263157895,48,50,1.0
0.0,0.2974137931034483,193,81,0.4051724137931034
0.0,0.8333333333333334,35,47,0.0
0.0,0.5274725274725275,137,81,0.4139194139194139
0.0,0.6043956043956044,108,53,0.5164835164835165
0.0,0.5018315018315018,137,62,0.336996336996337
0.0,0.9084249084249084,25,52,1.0
0.0,0.4725274725274725,146,50,0.12087912087912088
0.0,0.7953795379537953,64,83,0.21782178217821782
0.0,0.5091575091575091,137,69,0.2600732600732601
0.0,0.6441947565543071,95,52,0.0
0.0,0.8803418803418803,15,75,1.0
0.0,0.4416058394160584,159,61,0.29927007299270075
0.0,0.5787545787545788,122,73,0.13186813186813187
0.0,0.5824175824175825,114,48,0.0695970695970696
0.0,0.9111111111111111,24,52,1.0
0.0,0.7649253731343284,63,49,0.0037313432835820895
0.0,0.6851851851851852,86,53,0.0
0.0,0.5991735537190083,98,66,0.0
0.0,1.0,0,5,1.0
0.0,0.4652014652014652,159,68,0.0
0.0,0.5328947368421053,144,62,0.03289473684210526
0.0,0.40145985401459855,175,65,0.13503649635036497
0.0,0.673992673992674,89,43,0.1794871794871795
0.0,0.7289377289377289,75,55,0.0
0.003663003663003663,0.9157509157509157,25,133,1.0
0.009478672985781991,0.9146919431279621,25,628,1.0
0.0,0.6556776556776557,95,53,0.16483516483516483
0.0,0.9157509157509157,23,64,1.0
0.0,1.0,0,9,1.0
0.0,0.9304029304029304,19,73,1.0
0.0,0.42700729927007297,163,67,0.2846715328467153
0.0055248618784530384,0.6685082872928176,70,122,0.39226519337016574
0.0055248618784530384,0.6685082872928176,65,120,0.3149171270718232
0.0055248618784530384,0.8176795580110497,38,120,0.1878453038674033
0.00819672131147541,0.7786885245901639,30,109,0.0
0.0055248618784530384,0.6850828729281768,63,107,0.292817679558011
0.0,0.7900552486187845,42,96,0.4419889502762431
0.0,0.7983193277310925,27,94,0.0
0.0,0.9087136929460581,23,71,0.0
0.007326007326007326,0.42857142857142855,164,139,0.5274725274725275
0.0,0.7016574585635359,57,78,0.34806629834254144
0.005494505494505495,0.6043956043956044,77,115,0.41208791208791207
0.0,0.7955801104972375,38,62,0.2541436464088398
0.0,0.6813186813186813,59,56,0.4340659340659341
0.0,0.9007352941176471,27,32,0.5330882352941176
0.0,0.6911764705882353,84,30,0.8198529411764706
0.0,0.6059479553903345,106,46,0.758364312267658
0.0,0.8974358974358975,28,43,0.16483516483516483
0.0,0.7238493723849372,66,50,0.4560669456066946
0.0,0.6777777777777778,88,81,1.0
0.0,0.673992673992674,89,28,0.6813186813186813
0.0,0.5641025641025641,119,32,0.8424908424908425
0.0,0.4065934065934066,112,84,0.7362637362637363
0.0,0.6959706959706959,84,60,0.5384615384615384
0.0,0.9742647058823529,7,43,0.0
0.0,0.5423076923076923,119,23,1.0
0.0,0.9320754716981132,18,46,0.0
0.0,0.4927007299270073,141,71,0.6459854014598541
0.0,0.5860805860805861,113,31,0.8278388278388278
0.0,0.9246231155778895,15,41,0.0
